,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
54,Bonobo,Black Sands,Black Sands,6uoM7KHsyJsHZqBQHKjQbc,0.525,0.499,0,-9.023,0,0.0246,0.936,0.0966,0.338,87.989,408960,3
55,Smoky,Night Music / Ambient Haze EP Vol 3,Penarth Pier,7wD904p1RznL1Mvp3Z3qFq,0.201,0.078,9,-26.306,1,0.0442,0.909,0.0886,0.0374,143.001,227000,5
56,ATTLAS,Siren EP,Luna,6znOHO2N68FhzQ9ShU2W1E,0.312,0.129,9,-19.685,1,0.0315,0.822,0.102,0.28,189.861,222433,3
57,Garth Stevenson,Voyage,Voyage,4BgeMvo3n3JROYdFgkpQIo,0.274,0.265,1,-19.963,1,0.0365,0.868,0.0771,0.053,112.002,393627,4
58,Rockabye Baby!,Lullaby Renditions of the Flaming Lips,Yoshimi Battles the Pink Robots Pt. 1,4cCARox5ZHPMeEVp3Vg4nF,0.711,0.0722,0,-24.819,1,0.095,0.895,0.0811,0.918,155.972,235733,4
59,Maxence Cyrin,Novö Piano,Where Is My Mind,4jNQkWhuzqrbqQuqanFFJ6,0.333,0.114,9,-21.255,1,0.0453,0.96,0.119,0.0566,141.839,165160,4
60,Industries of the Blind,Chapter 1: Had We Known Better,I Just Wanted to Make You Something Beautiful,7yw2jKCffMUiYqB1wo3fbC,0.308,0.54,1,-8.198,0,0.035,0.805,0.466,0.0689,110.681,782129,4
61,Ramin Djawadi,Westworld: Season 1 (Music from the HBO® Series),Exit Music (For a Film),6XmdsD2GKYGMiAqqrM0WON,0.296,0.15,7,-11.921,1,0.0385,0.896,0.0955,0.046,128.222,266695,4
62,Evocativ,"The Lovers, Pt. 2","The Lovers, Pt. 2",4K0qgpb6FcpGacb15MSaLX,0.579,0.327,2,-17.461,0,0.0288,0.816,0.109,0.134,127.989,382500,4
63,Chet Baker,The Very Best Of Chet Baker,If You Could See Me Now,2QZtOFPATNgKpUJiGUARZk,0.511,0.031,3,-19.636,1,0.0388,0.898,0.139,0.179,112.911,318413,4
64,Clem Leek,Lifenotes,You’re So Very Far Away,6IhFOgNP7YeQ3PoI8kcRLn,0.311,0.109,9,-17.777,1,0.0347,0.882,0.127,0.0775,137.049,179000,4
65,Adam Young,Corduroy Road,Kennesaw Mountain,4TEzwvTttmf95ILo8HBMNx,0.389,0.179,8,-21.316,1,0.0423,0.115,0.062,0.0361,111.35,179880,3
66,Electus,Frozen Tides,Frozen Tides,6XtzongUMyQChAZrcTwcDq,0.454,0.19,0,-18.005,1,0.0365,0.933,0.36,0.0735,130.06,268630,4
